auc,accuracy,precision,recall,f1-score,specificity,opt_accuracy,opt_precision,opt_recall,opt_f1-score,opt_specificity,best_params,opt_threshold
0.5802296018182651,0.814400085113174,0.19322152341020266,0.10589812332439678,0.7905719754667238,0.9286795366795367,0.5514801712902625,0.16893237017234514,0.5687476062811183,0.6201240663901367,0.5486949806949807,"{'C': 0.1, 'class_weight': 'balanced'}",0.15798689329345122
0.5834537396728128,0.8175386334016012,0.18859315589353612,0.0949827652240521,0.790934225832829,0.9340849420849421,0.4998803095991701,0.16616685512020057,0.6472615855993872,0.5716006235629415,0.4761081081081081,"{'C': 0.1, 'class_weight': 'balanced'}",0.14185392507649977
0.582371528830357,0.8207569752905817,0.18798848210612917,0.08751436231328993,0.7917760188039559,0.939027027027027,0.503205042955555,0.16643529995042142,0.6428571428571429,0.5748778408279731,0.48067953667953667,"{'C': 0.1, 'class_weight': 'balanced'}",0.1352293325111113
0.5776370064872554,0.8161555443253451,0.19361856417693982,0.10225967062428189,0.791142320292182,0.9313050193050193,0.5004388648030428,0.1648210401423769,0.6384527001148985,0.5723662257423028,0.4781776061776062,"{'C': 1, 'class_weight': 'balanced'}",0.11405283893245106
0.5838281343114741,0.8145064765805783,0.17912087912087912,0.09364228265032555,0.7888786810934445,0.9307799227799228,0.5500438864803043,0.17194950911640955,0.5869398697816929,0.6186974929106533,0.5440926640926641,"{'C': 10, 'class_weight': 'balanced'}",0.13428520995586832
0.5737241726050613,0.8051706253158497,0.18126705062140042,0.11451551129835312,0.7859959588300747,0.9165714285714286,0.4546639359523366,0.16049766718507,0.6916890080428955,0.5253454485816287,0.41643243243243244,"{'C': 0.1, 'class_weight': 'balanced'}",0.11185783906033524
0.5710679350357635,0.8159427613905365,0.18010550113036924,0.09153581003446955,0.7894471206179011,0.9327876447876448,0.44200335133122326,0.16016046240779883,0.7110302566066641,0.5113193623664939,0.39861003861003863,"{'C': 1, 'class_weight': 'balanced'}",0.09896708050678463
0.5824672036483604,0.8183099715402825,0.19538053767512306,0.09881271543469936,0.79197280231419,0.9343629343629344,0.5394845333404261,0.1703380588876772,0.5982382229031022,0.6091781760551629,0.5300077220077221,"{'C': 0.1, 'class_weight': 'balanced'}",0.1648301464501437
0.5789486298685839,0.8146926616485358,0.19136894234170498,0.10360015319800843,0.7904282022041369,0.9293899613899614,0.5040561746947895,0.16580362477594104,0.637686710072769,0.5758153379388258,0.4825019305019305,"{'C': 0.1, 'class_weight': 'balanced'}",0.13771596496990376
0.5790800548318741,0.8219538792988802,0.19023569023569023,0.08655687476062811,0.7923564560609658,0.9405714285714286,0.5157858339761151,0.1655417589777938,0.6152815013404825,0.58730446603513,0.4997374517374517,"{'C': 0.1, 'class_weight': 'balanced'}",0.14803639906933716
0.5799854728066142,0.8183099715402825,0.19399011030810193,0.09766373037150516,0.7918039377975826,0.9345482625482625,0.4961832061068702,0.16441639761275806,0.6436231328992723,0.5681685789444901,0.4724015444015444,"{'C': 0.1, 'class_weight': 'balanced'}",0.13458718340063036
0.5826584882195759,0.8164215229938558,0.1865671641791045,0.09574875526618154,0.7903611770353759,0.9326640926640927,0.5306806394127191,0.1697942693105098,0.6116430486403677,0.6010359264019625,0.5176216216216216,"{'C': 0.1, 'class_weight': 'balanced'}",0.14863572566330643
0.5722054272908352,0.8101444264170014,0.1962587190868738,0.11853695901953275,0.7896451364313379,0.9216988416988418,0.49291166848418755,0.16326927754804185,0.6426656453466105,0.5650588685063059,0.46875675675675677,"{'C': 1, 'class_weight': 'balanced'}",0.10032098166085043
0.5820383497794452,0.8182567758065803,0.20199778024417314,0.10455764075067024,0.7927756287875286,0.9333745173745174,0.5036306088251722,0.16603717324321637,0.6397931826886251,0.575359376912872,0.4816679536679537,"{'C': 0.1, 'class_weight': 'balanced'}",0.1560939100587498
0.5685311830405664,0.8187355374098997,0.18776950215601726,0.09172730754500191,0.791182556645949,0.936,0.5690879591456766,0.16780635400907715,0.5310225967062429,0.6355064397161585,0.5752277992277992,"{'C': 0.1, 'class_weight': 'balanced'}",0.15662033980470164
0.5845679919674558,0.8152246189855573,0.19958202716823406,0.10972807353504405,0.7916231463443351,0.929019305019305,0.5656568343218874,0.17279368445858373,0.561662198391421,0.6324849935988326,0.5663011583011583,"{'C': 0.1, 'class_weight': 'balanced'}",0.16587018899622183
0.5803648301143514,0.8125116365667473,0.18401937046004843,0.10187667560321716,0.7888348919325842,0.9271351351351351,0.5425964837620023,0.17096224652415234,0.5957487552661815,0.611992315167047,0.534023166023166,"{'C': 10, 'class_weight': 'balanced'}",0.13073852327431398
0.5718520722396633,0.8160757507247919,0.190040278286342,0.09938720796629644,0.7906786361543006,0.9316756756756757,0.45317445540867624,0.1602197704816341,0.6924549980850249,0.5237826422832325,0.41457915057915057,"{'C': 0.1, 'class_weight': 'balanced'}",0.12244834719145485
0.5779328679229101,0.8138415299093013,0.19202772963604853,0.10608962083492915,0.7902520839104613,0.928,0.551639758491369,0.1689900426742532,0.5687476062811183,0.6202639324682859,0.5488803088803089,"{'C': 10, 'class_weight': 'balanced'}",0.1357138297322255
0.5634314579393094,0.8096124690799797,0.17297297297297298,0.0980467253925699,0.7865084305584457,0.9243861003861004,0.6011915844349284,0.16888045540796964,0.4772117962466488,0.661921652312912,0.6211891891891892,"{'C': 10, 'class_weight': 'balanced'}",0.16210503410887817
0.5812114176878636,0.8162619357927494,0.1947863866763215,0.10302566066641133,0.7913181581418358,0.9313050193050193,0.4487326116445461,0.162692541989383,0.7160091918805056,0.5181220598893066,0.40562162162162163,"{'C': 0.1, 'class_weight': 'balanced'}",0.12218252559255063
0.5858801595270382,0.8068196930606165,0.1919710232417748,0.12179241669858291,0.7879818159714649,0.9173127413127413,0.5671995105992499,0.1750382307963769,0.5698965913443125,0.6337788465834635,0.5667644787644788,"{'C': 1, 'class_weight': 'balanced'}",0.13193365830433637
0.573620006831803,0.8153310104529616,0.1878853826623141,0.09919571045576407,0.7901917812715024,0.9308416988416989,0.5255206532436099,0.16616394136635446,0.6013021830716201,0.5965115116045082,0.5132972972972973,"{'C': 0.1, 'class_weight': 'balanced'}",0.1547018346157716
0.5767682968847274,0.8234167619756896,0.1888449714536671,0.08234392952891613,0.7925839973859407,0.9429498069498069,0.4816873686730324,0.1639259294161994,0.6662198391420912,0.5534308416083765,0.4519227799227799,"{'C': 0.1, 'class_weight': 'balanced'}",0.1261036831665547
