,accuracy,precision,recall
1211111,0.868125,0.29411764705882354,0.024509803921568627
1323222,0.870625,0.38461538461538464,0.024509803921568627
1133212,0.8725,0.5555555555555556,0.024390243902439025
2223221,0.84625,0.5,0.024390243902439025
1131211,0.840625,0.3333333333333333,0.024096385542168676
3221212,0.86875,0.45454545454545453,0.023923444976076555
3222221,0.868125,0.4166666666666667,0.023923444976076555
2112211,0.868125,0.5,0.023696682464454975
3122212,0.868125,0.5,0.023696682464454975
1121211,0.839375,0.4,0.023622047244094488
1123222,0.866875,0.5,0.023474178403755867
3322212,0.834375,0.35294117647058826,0.023076923076923078
1311111,0.833125,0.375,0.022813688212927757
2112112,0.858125,0.29411764705882354,0.022727272727272728
2121211,0.85625,0.3333333333333333,0.022222222222222223
3112212,0.855,0.29411764705882354,0.022222222222222223
3121112,0.855625,0.3125,0.022222222222222223
1222211,0.855,0.3125,0.022123893805309734
1313221,0.86,0.7142857142857143,0.022026431718061675
1321221,0.8525,0.2631578947368421,0.022026431718061675
2221221,0.858125,0.5,0.022026431718061675
3111221,0.853125,0.2777777777777778,0.022026431718061675
1322122,0.848125,0.2,0.021929824561403508
1123122,0.845,0.1724137931034483,0.021834061135371178
1332221,0.855625,0.4166666666666667,0.021834061135371178
2122112,0.854375,0.35714285714285715,0.021834061135371178
2122222,0.855625,0.45454545454545453,0.021739130434782608
1231112,0.85375,0.38461538461538464,0.021645021645021644
1312222,0.84875,0.23809523809523808,0.021645021645021644
1322311,0.855,0.45454545454545453,0.021645021645021644
3111211,0.85375,0.38461538461538464,0.021645021645021644
1121322,0.85,0.2777777777777778,0.021551724137931036
1131321,0.855625,0.5555555555555556,0.021551724137931036
1111121,0.851875,0.38461538461538464,0.021367521367521368
1211312,0.86875,0.26666666666666666,0.019704433497536946
3113212,0.836875,0.35714285714285715,0.019455252918287938
1231211,0.8675,0.4444444444444444,0.018957345971563982
3111222,0.86375,0.26666666666666666,0.018957345971563982
1321211,0.864375,0.3076923076923077,0.018867924528301886
1211311,0.859375,0.2,0.018779342723004695
1212121,0.85875,0.19047619047619047,0.018779342723004695
1132222,0.8575,0.18181818181818182,0.018691588785046728
1323321,0.863125,0.3076923076923077,0.018691588785046728
3112122,0.864375,0.4444444444444444,0.018518518518518517
3131111,0.85875,0.2222222222222222,0.018518518518518517
2212111,0.8625,0.36363636363636365,0.018433179723502304
3322211,0.8625,0.36363636363636365,0.018433179723502304
1121311,0.85375,0.21052631578947367,0.017937219730941704
1311122,0.85875,0.36363636363636365,0.017937219730941704
3111322,0.85875,0.36363636363636365,0.017937219730941704
3212121,0.85875,0.36363636363636365,0.017937219730941704
1312121,0.8575,0.4,0.017699115044247787
2221222,0.851875,0.21052631578947367,0.017699115044247787
3113112,0.855625,0.3076923076923077,0.017699115044247787
1221311,0.85625,0.4,0.017543859649122806
1311321,0.854375,0.3076923076923077,0.017543859649122806
1321121,0.85125,0.2222222222222222,0.017543859649122806
3111311,0.85125,0.23529411764705882,0.017467248908296942
1221112,0.8425,0.13333333333333333,0.017391304347826087
