시간,사고율
2022-12-01,0.0006413409843120468
2022-11-01,0.000647423649249209
2022-10-01,0.0007052089661522506
2022-09-01,0.0006656716440606959
2022-08-01,0.000639059984960611
2022-07-01,0.0006481839823663544
2022-06-01,0.0006428616505463374
2022-05-01,0.0006595889791235336
2022-04-01,0.0005835556674090053
2022-03-01,0.00046038170243146927
2022-02-01,0.00042274521313277774
2022-01-01,0.0005679688385075269
2021-12-01,0.0006390788877366205
2021-11-01,0.000697543517845018
2021-10-01,0.0006725448484193583
2021-09-01,0.0006451269529202478
2021-08-01,0.0005971456357968044
2021-07-01,0.0006737544614560838
2021-06-01,0.0006410949094644963
2021-05-01,0.0006515782224494502
2021-04-01,0.0006052097227083075
2021-03-01,0.0006148866270021112
2021-02-01,0.0005322297361592044
2021-01-01,0.0005205368101375249
2020-12-01,0.0006100628210538185
2020-11-01,0.0007188610281298425
2020-10-01,0.0007298729924087923
2020-09-01,0.0006827417852948872
2020-08-01,0.0006836227424372031
2020-07-01,0.0006823013067237292
2020-06-01,0.0007505754852532179
2020-05-01,0.0006845036995795191
2020-04-01,0.0006140271281942404
2020-03-01,0.0005558839568013856
2020-02-01,0.0006197533496192944
2020-01-01,0.0006734917353005694
2019-12-01,0.0007983616884244142
2019-11-01,0.0008835139957931937
2019-10-01,0.0008985685473722045
2019-09-01,0.0007964798694770378
2019-08-01,0.0008284707915824357
2019-07-01,0.0007870707747401561
2019-06-01,0.0007677821305295486
2019-05-01,0.000841173069477226
2019-04-01,0.0007691934947400808
2019-03-01,0.0007009775578976883
2019-02-01,0.0006195888884236615
2019-01-01,0.0006459343536869302
2018-12-01,0.0007323858898412059
2018-11-01,0.0008252091711442
2018-10-01,0.0008920215329611902
2018-09-01,0.0007762474403470163
2018-08-01,0.000769617205968231
2018-07-01,0.0007905279451628615
2018-06-01,0.0007935880533376855
2018-05-01,0.0007701272239973683
2018-04-01,0.0007436062864822271
2018-03-01,0.0007354459980160299
2018-02-01,0.0006773039426943743
2018-01-01,0.0007226955472875966
2017-12-01,0.0007917226087717602
2017-11-01,0.0008454956761305358
2017-10-01,0.0008083121721058506
2017-09-01,0.00086036907774041
2017-08-01,0.0007860020696910395
2017-07-01,0.0007682683985408049
2017-06-01,0.0008077401181977785
2017-05-01,0.0007774212610699582
2017-04-01,0.0007928667165879044
2017-03-01,0.0007654081290004445
2017-02-01,0.0006286872449712171
2017-01-01,0.0007350892718726242
2016-12-01,0.0008308886073407684
2016-11-01,0.0008629169302330738
2016-10-01,0.0008912496774070363
2016-09-01,0.0008074832944579298
2016-08-01,0.0008271930316224255
2016-07-01,0.0007939328501573392
2016-06-01,0.000797628425875682
2016-05-01,0.0008130266580354443
2016-04-01,0.0008087151530307108
2016-03-01,0.0007249487700816045
2016-02-01,0.0006227045085407835
2016-01-01,0.000646109821423622
