시간,사고율
2022-12-01,0.000425427965940383
2022-11-01,0.0003948136492265523
2022-10-01,0.0004106759894927858
2022-09-01,0.0003597578772381762
2022-08-01,0.000369592528203241
2022-07-01,0.00039068944075733156
2022-06-01,0.0003713373856325267
2022-05-01,0.00040052409172239636
2022-04-01,0.00038212377701356547
2022-03-01,0.000312329479842138
2022-02-01,0.0003174054287273327
2022-01-01,0.00037054426861921503
2021-12-01,0.00039897698369343465
2021-11-01,0.0004161406396208018
2021-10-01,0.0004156725399136918
2021-09-01,0.0003747918321594173
2021-08-01,0.00037260736685957056
2021-07-01,0.00041364410784954837
2021-06-01,0.0004133320413781417
2021-05-01,0.00040974327695696497
2021-04-01,0.00039866491722202795
2021-03-01,0.0003847779592444309
2021-02-01,0.00034608171679000315
2021-01-01,0.0003839977930659142
2020-12-01,0.00037584355150047723
2020-11-01,0.00041670605527415996
2020-10-01,0.0004243296567244739
2020-09-01,0.00040725278947577066
2020-08-01,0.00039703716353235
2020-07-01,0.00041746841541919134
2020-06-01,0.00043576505889994483
2020-05-01,0.0004162486391871411
2020-04-01,0.0003778256878775589
2020-03-01,0.00035769938004873007
2020-02-01,0.0003933778348361993
2020-01-01,0.00039947671599645045
2019-12-01,0.0004531740637426919
2019-11-01,0.00049638475662077
2019-10-01,0.0004866969500324465
2019-09-01,0.0004677826609790528
2019-08-01,0.00045870995322173393
2019-07-01,0.00044302493303111475
2019-06-01,0.0004390267906295844
2019-05-01,0.0004874658235712023
2019-04-01,0.00045302028903494067
2019-03-01,0.000425802165762984
2019-02-01,0.0003602941402609864
2019-01-01,0.00040734920083284384
2018-12-01,0.00043361271914594244
2018-11-01,0.00043722365088067616
2018-10-01,0.00043948048321488473
2018-09-01,0.00042518721176489706
2018-08-01,0.0004245853898091081
2018-07-01,0.0004304531538780504
2018-06-01,0.00040577845369070325
2018-05-01,0.0004354181850133093
2018-04-01,0.0004277449550770001
2018-03-01,0.00040036205608860265
2018-02-01,0.0003889274389286125
2018-01-01,0.0004092389299364897
2017-12-01,0.0004474266916903037
2017-11-01,0.00046012070664146383
2017-10-01,0.0004318951910441783
2017-09-01,0.00045041351873763546
2017-08-01,0.0004411543548909069
2017-07-01,0.0004166623731027861
2017-06-01,0.0004129288392936214
2017-05-01,0.0004441411819382387
2017-04-01,0.00041815578662645204
2017-03-01,0.00040576045438002505
2017-02-01,0.0003575231975656165
2017-01-01,0.00041815578662645204
2016-12-01,0.00046067376257132985
2016-11-01,0.00046684743775575737
2016-10-01,0.0004524421956587598
2016-09-01,0.0004015828715203807
2016-08-01,0.00043156929384474295
2016-07-01,0.0004459745359417405
2016-06-01,0.000423190734665877
2016-05-01,0.0004550880564520859
2016-04-01,0.000481105687586459
2016-03-01,0.00044670949727321994
2016-02-01,0.0003849727454289447
2016-01-01,0.00042686554132327436
