0.5 acc,0.5 prec,0.5 recall,opt acc,opt prec,opt recall,auc,opt threshold,data
0.5909944606899175,0.21869977276506125,0.5594782362115411,0.5764210826617217,0.21739130434782608,0.5869842620161634,0.6090661139818146,0.49126611268438114,1111111
0.5949646958134227,0.22017937219730943,0.5569261307245144,0.5700972350997313,0.21680188969908595,0.5986105203459521,0.6110617541248164,0.4842784383537223,1111111
0.5898295414021825,0.21903922432789774,0.5637317453565859,0.5533842094001854,0.2141499780733811,0.623139089749043,0.6094068523412706,0.4806574812294995,1111111
0.5840762665525521,0.21541480431701734,0.5603289380405502,0.5516724912631054,0.21205912483535783,0.6163334751169715,0.6069330538644586,0.4806091261043258,1111111
0.5910182345529325,0.2152395915161037,0.5438820360130441,0.5738772793191166,0.21384574888128455,0.5759251382390472,0.6035773741176135,0.48942468862927424,1111111
0.599553051375318,0.21924643000516145,0.542038848716858,0.5726410384423365,0.21585765568909004,0.5882603147596768,0.6079541896700597,0.4811745690710258,1111111
0.5920880583886076,0.21715277389016402,0.5499787324542748,0.5630839455103059,0.21569513480945926,0.6091025095703956,0.6051328228393394,0.481186173554466,1111111
0.5945367662791528,0.2202707237946079,0.5583439671061959,0.5247842521931388,0.2106299212598425,0.6675173684956756,0.6138029186370482,0.4613832693644801,1111111
0.5959631980600528,0.21835694050991503,0.5464341415000709,0.5780139314837268,0.2156716814629738,0.5752162200482064,0.6068984644884634,0.4896729138111773,1111111
0.5867389392102322,0.218896266463481,0.570253792712321,0.6011459001973231,0.22299453053783044,0.5549411597901602,0.6095505515367325,0.506733341348028,1111111
0.5919454152105176,0.2218125791008639,0.5715298454558344,0.5879038584979673,0.22121590107923422,0.5783354600879058,0.6143217734512912,0.4975909766031685,1111111
0.6034519649097781,0.2206488305960188,0.5390613923153268,0.5603974989896108,0.21436419938068124,0.6085353750177229,0.6078058757229355,0.47432371695210024,1111111
0.5869053562513373,0.21762678483505662,0.5640153126329222,0.5713572498395264,0.215813182830218,0.5909542038848716,0.6079819490516027,0.49147416282266604,1111111
0.5956779117038727,0.2201102238218423,0.5549411597901602,0.5932767515393577,0.22036820735302298,0.5617467744222316,0.6075745306692265,0.49809338856144353,1111111
0.5858830801416922,0.21351978775149238,0.5477101942435842,0.5858117585526472,0.21380071763731714,0.5491280306252658,0.5983208763387083,0.4997977007846116,1111111
0.5826973824976821,0.21532371760112787,0.563022827165745,0.5368138268787295,0.20941649523097064,0.635048915355168,0.6024381845004039,0.4730210822670094,1111111
0.5954639469367378,0.21655761024182077,0.5396285268679994,0.6319330528017497,0.22448846178989346,0.4868850134694456,0.6051310449753818,0.5204966202331047,1111111
0.5902099232104224,0.21864294397170958,0.5610378562313909,0.544920714166845,0.2138698224852071,0.6405784772437261,0.6116804406575538,0.4725389217351683,1111111
0.5859306278677222,0.2172632038411174,0.5645824471855948,0.5470603618381951,0.2130386951738652,0.6315043244009642,0.6098828136564088,0.4777249823223605,1111111
0.580747925730452,0.21241439286879008,0.5540904579611513,0.5067161163017379,0.2049293347121682,0.6743229831277471,0.6025093152579242,0.45643900620346145,1111111
0.5940612890188527,0.21733980144404333,0.5462923578619028,0.5425433278653449,0.210900811156966,0.6303700552956188,0.6058906910111725,0.4680541465745258,1111111
0.5828400256757721,0.22018984641638226,0.5854246419963136,0.5879751800870123,0.22155396618985695,0.5797532964695874,0.6151073321579992,0.5026910360958264,1111111
0.5820792620592921,0.21822464932005567,0.5779101091734014,0.583315502936072,0.2185013975489142,0.5763504891535517,0.6114647156978867,0.5005876764754855,1111111
0.5986020968547179,0.21835787543688764,0.5403374450588402,0.5787271473741769,0.21513646317363672,0.5711044945413299,0.605513852698828,0.48826557610363935,1111111
0.5956779117038727,0.21692640200204755,0.5407627959733446,0.5615861921403609,0.21375427307460285,0.6028640294909967,0.6058146721402198,0.47768095708359337,1111111
0.5835770154292371,0.217262065610982,0.5699702254359846,0.5948458264983477,0.21999215114649323,0.5563589961718418,0.6078360548623708,0.5057233711480179,1111111
0.5920405106625776,0.21441085052274653,0.5379271232099816,0.5324394360839693,0.20676027524641993,0.630511838933787,0.5970533383081126,0.46552009321912624,1111111
0.5905903050186625,0.2179003440239707,0.5567843470863463,0.598887383210898,0.21998517082073804,0.5468594924145753,0.6063032202462013,0.5045780071538974,1111111
0.5884982050733424,0.21549045716822016,0.5506876506451156,0.5390485700021397,0.21039534228566062,0.6353324826315043,0.604258251465533,0.47179865174699015,1111111
0.5921118322516226,0.21643466546924114,0.5467177087764072,0.5408316097282647,0.20977133929839512,0.6282433007230965,0.6040173043265311,0.46938438662178916,1111111
0.5949884696764377,0.21534074707727402,0.5353750177229548,0.5300382759194542,0.2088923485507578,0.6468169573231249,0.6001190966361396,0.4602177516258672,1111111
0.582364548415472,0.21363983004684606,0.5560754288955054,0.543874664194185,0.20936137594020984,0.6195944987948391,0.6031497553128671,0.47790067875587455,1111111
0.5865249744430973,0.21447114056890362,0.5505458670069474,0.617692508855764,0.22197585612219758,0.510988231958032,0.6029060360830247,0.5168315681652195,1111111
0.5874759289636973,0.2179129005751849,0.5640153126329222,0.5581865297292157,0.21408380857922144,0.6120799659719268,0.6073766855942355,0.4844188942258142,1111111
0.5781090269357868,0.21731084439274573,0.5827307528711186,0.6137222737322587,0.2259641175418728,0.5375017722954771,0.6104788658345696,0.5167415344172634,1111111
0.5875234766897273,0.21944308212086536,0.5709627109031618,0.5262582317000689,0.2111121084283278,0.666950233943003,0.6119466585735384,0.4698903990310332,1111111
0.5801773530180919,0.2122001519591881,0.5543740252374876,0.5707866771271664,0.2117289450238457,0.5728058981993478,0.6006532050371625,0.4950691655628752,1111111
0.5913986163611725,0.21878121878121878,0.5589111016588686,0.6058531250742933,0.2220795892169448,0.5396285268679994,0.6078364274443393,0.5081927421680899,1111111
