auc,accuracy,precision,recall,f1-score,specificity,opt_accuracy,opt_precision,opt_recall,opt_f1-score,opt_specificity,best_params,opt_threshold
0.558962003640671,0.8204112030215177,0.1922767497988737,0.09153581003446955,0.792178573725934,0.937976833976834,0.6273372875495385,0.1672093903824309,0.4228265032554577,0.681857005897703,0.6603243243243243,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 9, 'n_estimators': 300}",0.09277631
0.5594224997005541,0.8253850041226694,0.18983833718244802,0.07870547682880123,0.7931902529544783,0.9458223938223939,0.5357076362475729,0.1611831173147225,0.5572577556491766,0.6063122260017058,0.5322316602316602,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.07596531
0.5602398761402974,0.8276724206718621,0.18527791687531298,0.07085407889697434,0.7932677483227111,0.9497451737451738,0.5035774130914701,0.1595238095238095,0.6030256606664114,0.5762003357517071,0.48753667953667956,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.06717305
0.5684582513245862,0.8251456233210096,0.20454545454545456,0.08962083492914592,0.7947794861787925,0.9437837837837838,0.4514721919302072,0.15816575664757845,0.6823056300268097,0.5224758142168777,0.4142393822393822,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.045623716
0.5585512111663011,0.8300662286884591,0.1888,0.06779011872845653,0.794171352254153,0.953019305019305,0.47264409394366574,0.15672448643820805,0.6384527001148985,0.5454762496844032,0.4458996138996139,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.06630835
0.5715059571252601,0.8373274463388036,0.220625,0.06759862121792416,0.7984524113508144,0.9614826254826255,0.5686623932760593,0.16928352282981413,0.5388739946380697,0.6351311630635168,0.5734671814671815,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 300}",0.12025498
0.5587994126423846,0.8304120009575232,0.18121546961325966,0.06281118345461509,0.7935136165016242,0.9542239382239383,0.5476766763305583,0.16219470244238046,0.5417464572960552,0.6170070101093598,0.5486332046332046,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.08616163
0.5644177130021634,0.82490624251935,0.19470614625392552,0.08310991957104558,0.7936074137984649,0.9445559845559846,0.516078410511477,0.16183524504692387,0.594408272692455,0.587988006652958,0.5034440154440154,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.06668341
0.5603119383540679,0.8328324068409714,0.19541547277936963,0.06530065109153581,0.7953781062864803,0.9566332046332047,0.5383408250658297,0.16048346483129092,0.5492148602068173,0.6087353755748361,0.5365868725868725,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.08401344
0.5655994848051531,0.8274330398702024,0.1924198250728863,0.07583301417081578,0.7939527154373323,0.9486640926640927,0.5464797723222597,0.16312581876174745,0.5484488701646879,0.6159078533345717,0.5461621621621622,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.076635435
0.5627882747331234,0.8281245844083305,0.18008255933952527,0.06683263117579472,0.7928566742293207,0.9509189189189189,0.48352262148575686,0.15884840911275594,0.63289927230946,0.5562872623333422,0.4594285714285714,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.06208827
0.5640778914275659,0.8308109689602894,0.1916621548456957,0.06779011872845653,0.7946133639712839,0.9538841698841699,0.5733968135755513,0.16620378942171202,0.5157027958636538,0.6391591037471157,0.5827027027027027,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.0993418
0.558143917403205,0.825597787057478,0.18409843823946995,0.07449253159708924,0.7926320517911638,0.9467490347490347,0.5533420219698381,0.16192368374919652,0.5306396016851781,0.6220014252006364,0.557003861003861,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.09755236
0.5706384955837273,0.8298534457536506,0.19127693116132422,0.06970509383378017,0.7943723412015841,0.9524633204633205,0.5780780381413411,0.16902021772939346,0.5202987361164305,0.6431039597411805,0.5873976833976834,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.10400514
0.5635010299460702,0.8297736521530973,0.19290928050052136,0.07085407889697434,0.7945201655958808,0.9521853281853282,0.5901800675585818,0.16533052963595743,0.4818077364994255,0.652980687801761,0.6076602316602316,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.11282487
0.5657805837790518,0.8290821076149693,0.193794506612411,0.07296055151283033,0.7944627692031074,0.9510424710424711,0.503205042955555,0.16023633976366022,0.607621600919188,0.5757442469907442,0.4863629343629344,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.06787728
