auc,accuracy,precision,recall,f1-score,specificity,opt_accuracy,opt_precision,opt_recall,opt_f1-score,opt_specificity,best_params,opt_threshold
0.5570605827143551,0.8274862356039046,0.1880552813425469,0.07296055151283033,0.7935086254762767,0.9491891891891892,0.5886639891480703,0.16334713731676856,0.47587131367292224,0.65169342761544,0.6068571428571429,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.10468234
0.5731455928215791,0.8349602361890577,0.2212138400453772,0.0746840291076216,0.7982807902174428,0.9575907335907335,0.5346171237066787,0.16503847623205806,0.579088471849866,0.6050689693733955,0.5274440154440154,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 300}",0.10361974
0.5639215318617847,0.8253052105221161,0.19014732965009207,0.07908847184986595,0.7932040499779062,0.9456679536679536,0.45006250498710004,0.15727845294065465,0.6790501723477594,0.5211690772331692,0.41312741312741313,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.047702394
0.5634125033826298,0.826289331595606,0.19286719849835757,0.07870547682880123,0.7937350647609119,0.9468725868725869,0.5426762773625555,0.16359447004608296,0.557449253159709,0.6124831424530268,0.5402934362934363,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.07758082
0.5614335281826665,0.8275926270713089,0.18811881188118812,0.07276905400229797,0.7935403126356096,0.9493436293436294,0.5877064659414315,0.16641786201077433,0.49099961700497896,0.6510067818340177,0.6033050193050193,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.108996786
0.5647611160977687,0.8246136659839881,0.1773283160865475,0.07219456147070089,0.7916667833615738,0.945976833976834,0.5113705880788361,0.16185773800339454,0.6026426656453466,0.5834736344203251,0.49664864864864866,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.06944921
0.5672514177470133,0.8319280793680347,0.20399352401511064,0.07238605898123325,0.7960677351508539,0.9544401544401544,0.5236854004308854,0.16246275010642827,0.5846418996553044,0.5951193485162561,0.5138532818532818,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.07671777
0.5616637244565241,0.8244540787828816,0.19486271036315322,0.08425890463423975,0.7935154839995352,0.9438455598455598,0.48128840067026624,0.1575868022252062,0.6292608196093451,0.5542315449933751,0.45742084942084943,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.052808654
0.5589969670934818,0.8221666622336888,0.18284228769497402,0.08081194944465722,0.7915864721311492,0.9417451737451737,0.47767109077851955,0.15754465982516153,0.6350057449253159,0.5505242006068602,0.45229343629343627,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.02943028
0.5643958719347459,0.8277788121392664,0.19952038369304556,0.07966296438146304,0.7947893945864469,0.9484478764478764,0.49966752666436154,0.1598157512642067,0.6112600536193029,0.5723276615931057,0.4816679536679537,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.064065576
0.5694392893741802,0.8253318083889672,0.18352941176470589,0.0746840291076216,0.7925041640734358,0.9464092664092664,0.5691145570125276,0.1671719621634732,0.527958636537725,0.6355327478994705,0.5757528957528958,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.08220595
0.5637456173687503,0.8290821076149693,0.18580375782881003,0.06817311374952126,0.7936527681492831,0.9518146718146718,0.5626246775008644,0.16332653306132244,0.5212562236690923,0.6300151481646347,0.5692972972972973,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.10035943
0.5490817613038984,0.8168736867303242,0.1672669067627051,0.08004595940252776,0.7882768976905387,0.9357220077220078,0.49764608878367955,0.15612260304997735,0.5940252776713902,0.5708434108540733,0.4821003861003861,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 9, 'n_estimators': 300}",0.037738144
0.5650195327460743,0.8273266484027981,0.19144800777453838,0.07545001914975105,0.7938256825861841,0.9486023166023166,0.5828656541745352,0.16669852800611737,0.5009574875526618,0.6470490246692908,0.5960772200772201,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.092182174
0.5614095340621577,0.823576349176796,0.18686196182867287,0.08062045193412486,0.7924069038858772,0.9434131274131274,0.5721201159666994,0.16447409054412945,0.5099578705476829,0.6380782537344155,0.5821467181467181,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.08827643
0.5663480345257443,0.8306247838923319,0.20854526958290945,0.07851397931826887,0.7963179138321487,0.9519382239382239,0.5913237758331782,0.1670277723064802,0.48716966679433166,0.653958111346962,0.6081235521235521,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",0.11238494
