시간,사고율
2022-12-01,0.00040347208673006284
2022-11-01,0.000396844752848163
2022-10-01,0.00040864140715794474
2022-09-01,0.0003843853651501913
2022-08-01,0.00036794957712307964
2022-07-01,0.0003883617654793312
2022-06-01,0.00036582883028087173
2022-05-01,0.0004103645139672387
2022-04-01,0.00037179343077458157
2022-03-01,0.0003169191062324508
2022-02-01,0.0002912050507706794
2022-01-01,0.00038955468557807317
2021-12-01,0.00041025757569351367
2021-11-01,0.00042267761180146544
2021-10-01,0.00043668318443383663
2021-09-01,0.0003934773141434086
2021-08-01,0.00038158579021026326
2021-07-01,0.00042756634941842523
2021-06-01,0.00040999331960611045
2021-05-01,0.00041739249005340084
2021-04-01,0.00042465953245698966
2021-03-01,0.0003809251499917552
2021-02-01,0.0003474967549352467
2021-01-01,0.0003673159614904889
2020-12-01,0.00039644621412900175
2020-11-01,0.0004391101279011625
2020-10-01,0.0004497432879489934
2020-09-01,0.00042519512833239626
2020-08-01,0.00041653107199712667
2020-07-01,0.0004307086187275678
2020-06-01,0.0004451487126196838
2020-05-01,0.0004274267792066324
2020-04-01,0.0003946083839972779
2020-03-01,0.000362577630272948
2020-02-01,0.0004043226289792468
2020-01-01,0.0004013033366199862
2019-12-01,0.0004928368532039761
2019-11-01,0.0005211036509448308
2019-10-01,0.0005324888889237862
2019-09-01,0.0004767404822682116
2019-08-01,0.0004805355615945301
2019-07-01,0.00048040469679017426
2019-06-01,0.000467579945963305
2019-05-01,0.0005205801917274076
2019-04-01,0.00048066642639888585
2019-03-01,0.00046561697389796783
2019-02-01,0.0003757128533055272
2019-01-01,0.0004335550968307947
2018-12-01,0.0004564827598806724
2018-11-01,0.0004744915137010077
2018-10-01,0.0004988946801097229
2018-09-01,0.00045752674560938753
2018-08-01,0.00045726574917720876
2018-07-01,0.00046679211895173393
2018-06-01,0.0004577877420415663
2018-05-01,0.0004727950368918457
2018-04-01,0.0004738390226205608
2018-03-01,0.0004292086327179907
2018-02-01,0.00041380984321944317
2018-01-01,0.00044865286691530925
2017-12-01,0.0004792862606276169
2017-11-01,0.0004990797935148932
2017-10-01,0.00047285978891096884
2017-09-01,0.0005075627361808687
2017-08-01,0.00047748684854695547
2017-07-01,0.00046797567040631627
2017-06-01,0.0004674615526689844
2017-05-01,0.0004677186115376503
2017-04-01,0.00046219184586133294
2017-03-01,0.00045255213828636077
2017-02-01,0.0004007547762501769
2017-01-01,0.00045769331565967923
2016-12-01,0.0005349946699439635
2016-11-01,0.0005171572367172399
2016-10-01,0.0005270384047636983
2016-09-01,0.00048186735083703117
2016-08-01,0.0004845622148497017
2016-07-01,0.0005237019064622967
2016-06-01,0.0004870004251468797
2016-05-01,0.0005195954470144179
2016-04-01,0.0005415393396890204
2016-03-01,0.0005021429943609329
2016-02-01,0.0004476040798187922
2016-01-01,0.0004922618263144744
