label,encoding,r_square,mse
a0b0c0e0f0g0,0,0.015256852912194918,0.22433765752569712
a0b0c0e0f0g0,1,0.009187327287912161,0.2257203766285114
a0b0c0e0f0g1,0,0.01585968714449182,0.2694768831596598
a0b0c0e0f0g1,1,0.008830119944859272,0.2714017162695057
a0b0c0e0f0g2,0,0.017049368491470096,0.13684649368079713
a0b0c0e0f0g2,1,0.010485476550941453,0.13776031942968794
a0b0c0e0f1g0,0,0.015810324310399637,0.23279472656596595
a0b0c0e0f1g0,1,0.008337544060203261,0.23456229625095892
a0b0c0e0f1g1,0,0.016607535253911676,0.2764284464884056
a0b0c0e0f1g1,1,0.008300923566038954,0.27876340821200796
a0b0c0e0f1g2,0,0.012334638917380625,0.13730563778904248
a0b0c0e0f1g2,1,0.009511238309867887,0.13769814808293754
a0b0c0e1f0g0,0,0.015256852912194918,0.22433765752569712
a0b0c0e1f0g0,1,0.009187327287912161,0.2257203766285114
a0b0c0e1f0g1,0,0.01585968714449182,0.2694768831596598
a0b0c0e1f0g1,1,0.008830119944859272,0.2714017162695057
a0b0c0e1f0g2,0,0.017049368491470096,0.13684649368079713
a0b0c0e1f0g2,1,0.010485476550941453,0.13776031942968794
a0b0c0e1f1g0,0,0.015810324310399637,0.23279472656596595
a0b0c0e1f1g0,1,0.008337544060203261,0.23456229625095892
a0b0c0e1f1g1,0,0.016607535253911676,0.2764284464884056
a0b0c0e1f1g1,1,0.008300923566038954,0.27876340821200796
a0b0c0e1f1g2,0,0.012334638917380625,0.13730563778904248
a0b0c0e1f1g2,1,0.009511238309867887,0.13769814808293754
a0b0c0e2f0g0,0,0.02807330738898306,0.3281938261685745
a0b0c0e2f0g0,1,0.01518729821569531,0.33254508916688097
a0b0c0e2f0g1,0,0.02972178831838812,0.4274643106890875
a0b0c0e2f0g1,1,0.015583186825241069,0.43369319171373844
a0b0c0e2f0g2,0,0.034145615190430356,0.26225940922941293
a0b0c0e2f0g2,1,0.02110092873724334,0.26580144601736033
a0b0c0e2f1g0,0,0.028053965066999198,0.31987153170178534
a0b0c0e2f1g0,1,0.015410980334365054,0.3240323912005216
a0b0c0e2f1g1,0,0.03057875298429147,0.41105222348222303
a0b0c0e2f1g1,1,0.016545618718846855,0.41700252739808313
a0b0c0e2f1g2,0,0.030083363360770998,0.2543367699888104
a0b0c0e2f1g2,1,0.01931328831714685,0.2571609571360934
a0b0c0e3f0g0,0,0.031327359478137695,0.35345034210878234
a0b0c0e3f0g0,1,0.018015033631525013,0.35830775825528766
a0b0c0e3f0g1,0,0.033794832418684306,0.4518254932822106
a0b0c0e3f0g1,1,0.019231458344374563,0.45863574838719023
a0b0c0e3f0g2,0,0.04172151600048646,0.2796817719241724
a0b0c0e3f0g2,1,0.022320279303904456,0.2853441887971605
a0b0c0e3f1g0,0,0.02763667248495827,0.345817504237479
a0b0c0e3f1g0,1,0.016528199961529877,0.34976819235501616
a0b0c0e3f1g1,0,0.029889489253369095,0.4471529239667207
a0b0c0e3f1g1,1,0.017574868421996293,0.4528291007025565
a0b0c0e3f1g2,0,0.04278561280961146,0.28440753363782806
a0b0c0e3f1g2,1,0.023676806539161377,0.29008514205540903
a0b0c0e4f0g0,0,0.0280605662564386,0.33847778705472265
a0b0c0e4f0g0,1,0.015419969758913799,0.3428798732146126
a0b0c0e4f0g1,0,0.030364942800103156,0.44526490148791975
a0b0c0e4f0g1,1,0.016982105215127774,0.4514104175917939
a0b0c0e4f0g2,0,0.0440258729012708,0.27923063506337775
a0b0c0e4f0g2,1,0.023713948741957425,0.28516354822660034
a0b0c0e4f1g0,0,0.03226224880622097,0.3322425844666244
a0b0c0e4f1g0,1,0.01674630764416929,0.33756949910414163
a0b0c0e4f1g1,0,0.03517201968243078,0.4348579191911809
a0b0c0e4f1g1,1,0.018480285580902978,0.4423810558612987
a0b0c0e4f1g2,0,0.04476754463229349,0.2736497114808521
a0b0c0e4f1g2,1,0.026322527304267762,0.27893373804602006
a0b0c0e5f0g0,0,0.0325571029752143,0.31414758748585997
a0b0c0e5f0g0,1,0.017871413742365894,0.3189163173584492
a0b0c0e5f0g1,0,0.034490382210851656,0.41154333910553287
a0b0c0e5f0g1,1,0.018946758171729194,0.41816872617677636
a0b0c0e5f0g2,0,0.0462204247597785,0.2824754577202402
a0b0c0e5f0g2,1,0.02775477435454521,0.28794432409747045
a0b0c0e5f1g0,0,0.031074870697632484,0.3419714444830889
a0b0c0e5f1g0,1,0.01834448522951393,0.34646449371434745
a0b0c0e5f1g1,0,0.03203926771097987,0.44557672482640737
a0b0c0e5f1g1,1,0.01884968201396464,0.451648223597639
a0b0c0e5f1g2,0,0.042586474066479196,0.2794370805560636
a0b0c0e5f1g2,1,0.02544119609212392,0.28444121543895506
a0b0c0e6f0g0,0,0.033514078808277836,0.3151707738321675
a0b0c0e6f0g0,1,0.018311378977311832,0.3201283697629552
a0b0c0e6f0g1,0,0.03622369479760812,0.4176845354470082
a0b0c0e6f0g1,1,0.019910439248614353,0.42475442762928056
a0b0c0e6f0g2,0,0.04375091756116001,0.2633605968077738
a0b0c0e6f0g2,1,0.02767551885622277,0.267787922987327
a0b0c0e6f1g0,0,0.030479998220088622,0.3203161696438434
a0b0c0e6f1g0,1,0.015829683189972243,0.3251564336774964
a0b0c0e6f1g1,0,0.032666923249272006,0.41896858444561963
a0b0c0e6f1g1,1,0.017085267177083807,0.4257172675463893
a0b0c0e6f1g2,0,0.041357120387361834,0.3023868975475312
a0b0c0e6f1g2,1,0.0235500953489981,0.3080038078385436
a0b0c0e7f0g0,0,0.03347962585547737,0.32923141065417993
a0b0c0e7f0g0,1,0.01614820176540044,0.3351351136225445
a0b0c0e7f0g1,0,0.03655410684960281,0.4302567173438809
a0b0c0e7f0g1,1,0.01785182431016008,0.43860880307019606
a0b0c0e7f0g2,0,0.04803632250735412,0.267609211304745
a0b0c0e7f0g2,1,0.02961790825060584,0.27278686401279234
a0b0c0e7f1g0,0,0.03076331864368731,0.3602082653402447
a0b0c0e7f1g0,1,0.016754884830133432,0.36541437623263556
a0b0c0e7f1g1,0,0.03268646384535223,0.4649854264264636
a0b0c0e7f1g1,1,0.017820905795641773,0.47213126651910853
a0b0c0e7f1g2,0,0.042912729093227964,0.25767435681338774
a0b0c0e7f1g2,1,0.024761874667537764,0.2625610686963303
